file_name,time_stamp,input_size,execution_time
03.png,1555972709.8670695,2677,1.3753414154052734
04.png,1555972711.2427623,2988,0.8324971199035645
05.png,1555972712.0756927,3870,1.3332691192626953
06.png,1555972713.4093597,4855,1.2466034889221191
07.png,1555972714.6563628,23359,1.6677794456481934
08.png,1555972716.3245945,26854,1.8617358207702637
09.png,1555972718.186777,44189,2.0900511741638184
10.png,1555972720.2771256,62155,2.7477381229400635
11.png,1555972723.0252254,71329,4.9015443325042725
12.png,1555972727.92719,76633,6.193844795227051
13.png,1555972734.1215,78053,7.4100377559661865
14.png,1555972741.5319684,79208,7.442817211151123
15.png,1555972748.975243,155349,7.7212419509887695
16.png,1555972756.696794,197048,10.032140731811523
17.png,1555972766.729368,209291,10.551290273666382
18.png,1555972777.2809567,225763,11.005261182785034
