file_name,time_stamp,input_size,execution_time
01.png,1555972420.9563932,1584,0.2329235076904297
02.png,1555972421.1897013,2294,0.19256830215454102
03.png,1555972421.3826268,2677,0.2540867328643799
04.png,1555972421.6370356,2988,0.215653657913208
05.png,1555972421.8529735,3870,0.8272562026977539
06.png,1555972422.6805587,4855,0.8325364589691162
07.png,1555972423.5134103,23359,0.6346256732940674
08.png,1555972424.1483495,26854,0.8039765357971191
09.png,1555972424.9526806,44189,3.762857675552368
10.png,1555972428.7158136,62155,4.999292612075806
11.png,1555972433.7153895,71329,3.2460269927978516
12.png,1555972436.9617536,76633,10.095601797103882
13.png,1555972447.0577013,78053,13.340927124023438
14.png,1555972460.3989215,79208,18.354010343551636
15.png,1555972478.753224,155349,15.512337684631348
16.png,1555972494.2658422,197048,18.697177171707153
17.png,1555972512.9633079,209291,21.276536226272583
18.png,1555972534.2401536,225763,19.58180594444275
19.png,1555972553.8222578,245337,26.41775131225586
20.png,1555972580.2402914,255254,28.243051767349243
