file_name,time_stamp,input_size,execution_time
01.png,1555467018.6050947,65342,1.7803997993469238
02.png,1555467020.3859763,71329,6.0287957191467285
03.png,1555467026.4151952,76633,5.976171255111694
04.png,1555467032.3918602,78053,7.269230842590332
05.png,1555467039.6614952,78606,3.8795135021209717
06.png,1555467043.541467,79208,7.462211847305298
07.png,1555467051.0041015,90337,9.467840909957886
08.png,1555467060.4724412,90937,9.375086069107056
09.png,1555467069.8478377,97335,4.328297138214111
10.png,1555467074.1765294,155349,7.7838194370269775
11.png,1555467081.9606495,172837,9.028568267822266
12.png,1555467090.9896836,197048,9.95099663734436
13.png,1555467100.941182,209291,10.696353197097778
14.png,1555467111.6379468,225763,11.309925556182861
15.png,1555467122.9482157,237598,12.074972867965698
16.png,1555467135.0236623,245337,12.682384490966797
17.png,1555467147.7065642,248497,12.343830347061157
18.png,1555467160.050742,255254,13.077253103256226
