file_name,time_stamp,input_size,execution_time
001.png,1555419328.4655957,1436,1.0001311302185059
002.png,1555419329.466079,1584,0.9360153675079346
003.png,1555419330.4024217,2294,0.9376208782196045
004.png,1555419331.3403273,2677,0.8982665538787842
005.png,1555419332.238958,2988,0.9512598514556885
006.png,1555419333.190506,3782,0.8306329250335693
007.png,1555419334.0214355,3870,1.4460790157318115
008.png,1555419335.4678097,4855,1.578824758529663
009.png,1555419337.0469742,4855,1.5368595123291016
010.png,1555419338.584218,6597,0.8725602626800537
011.png,1555419339.4571366,7108,0.8114755153656006
012.png,1555419340.2691934,14644,2.545783281326294
013.png,1555419342.8154438,21104,0.8363196849822998
014.png,1555419343.6521769,23359,1.9419384002685547
015.png,1555419345.59449,26854,2.2582154273986816
016.png,1555419347.8530445,28976,1.7068774700164795
017.png,1555419349.5602226,31909,1.6845760345458984
018.png,1555419351.2451584,36658,0.8098762035369873
019.png,1555419352.0553482,37394,1.011805772781372
020.png,1555419353.0677207,38576,4.6776111125946045
021.png,1555419357.7457314,44586,1.5895130634307861
022.png,1555419359.3355446,46043,6.099687099456787
023.png,1555419365.4355998,46609,1.1650774478912354
024.png,1555419366.6010334,48832,5.722039699554443
025.png,1555419372.323465,49695,6.645268440246582
026.png,1555419378.9690933,54057,5.645040273666382
027.png,1555419384.6144996,54151,1.9829342365264893
028.png,1555419386.5977468,54779,6.747410535812378
029.png,1555419393.3456342,59242,6.394816160202026
030.png,1555419399.7408223,62155,3.4852938652038574
031.png,1555419403.226413,62653,7.593066453933716
032.png,1555419410.819965,65342,2.0822017192840576
033.png,1555419412.9024806,68305,9.387792825698853
034.png,1555419422.2907486,71329,7.21033239364624
035.png,1555419429.5014904,72050,10.082420349121094
036.png,1555419439.5842454,76633,7.30194616317749
037.png,1555419446.886553,78053,8.855985879898071
038.png,1555419455.7430258,79208,8.952611684799194
039.png,1555419464.6960704,79339,1.5821959972381592
040.png,1555419466.2786124,80727,0.9138462543487549
041.png,1555419467.192781,82665,8.414330959320068
042.png,1555419475.607408,82992,7.95517110824585
043.png,1555419483.5628982,88229,3.361833095550537
044.png,1555419486.9251792,90337,13.777153968811035
045.png,1555419500.7026367,90937,11.686384439468384
046.png,1555419512.3893077,92474,1.9638986587524414
047.png,1555419514.3534887,106416,5.987694025039673
048.png,1555419520.3414986,108666,3.3918206691741943
049.png,1555419523.7336583,113599,6.500940322875977
050.png,1555419530.234927,116551,2.7911789417266846
