file_name,time_stamp,input_size,execution_time
03.png,1555972857.08697,2677,0.7904984951019287
04.png,1555972857.8777916,2988,0.8122556209564209
05.png,1555972858.6904662,3870,1.3519489765167236
06.png,1555972860.0427613,4855,1.246720790863037
07.png,1555972861.2898889,23359,1.627955436706543
08.png,1555972862.918298,26854,1.7880315780639648
09.png,1555972864.7066417,44189,2.097005605697632
10.png,1555972866.8039708,62155,3.669227123260498
11.png,1555972870.473705,71329,17.445016145706177
12.png,1555972887.9191556,76633,8.28132176399231
13.png,1555972896.2009342,78053,7.819209814071655
14.png,1555972904.0204582,79208,7.290690183639526
15.png,1555972911.3116345,155349,7.714351415634155
16.png,1555972919.026415,197048,9.982511758804321
17.png,1555972929.0092304,209291,10.582171201705933
18.png,1555972939.5917614,225763,10.922585725784302
