file_name,time_stamp,input_size,execution_time
01.png,1555464257.3757877,1436,0.8152198791503906
02.png,1555464258.191329,1584,0.7863199710845947
03.png,1555464258.977951,1635,0.8293914794921875
04.png,1555464259.8077524,2294,0.8667128086090088
05.png,1555464260.6747568,2677,0.8990466594696045
06.png,1555464261.5741029,2988,0.964163064956665
07.png,1555464262.5385528,3620,0.7946009635925293
08.png,1555464263.3335128,3782,0.7727329730987549
09.png,1555464264.106543,3870,1.2191448211669922
10.png,1555464265.3259747,4855,1.2618606090545654
11.png,1555464266.5881777,4855,1.294612169265747
12.png,1555464267.8830903,6597,0.7134528160095215
13.png,1555464268.596985,7108,0.7329015731811523
14.png,1555464269.3301919,11384,1.4972801208496094
15.png,1555464270.8278694,14644,2.0223376750946045
16.png,1555464272.85068,21104,0.7641017436981201
17.png,1555464273.615208,23359,1.6587860584259033
18.png,1555464275.2742944,26854,1.9331262111663818
19.png,1555464277.2079163,28976,1.3584206104278564
20.png,1555464278.5667343,31909,1.3911182880401611
21.png,1555464279.9583826,36658,0.7644295692443848
22.png,1555464280.723113,37394,0.9299356937408447
23.png,1555464281.6536036,38576,3.4872536659240723
24.png,1555464285.1412284,44189,2.192821741104126
25.png,1555464287.3344843,44586,1.264317512512207
26.png,1555464288.5991037,46043,4.955451488494873
27.png,1555464293.555011,46609,0.98580002784729
28.png,1555464294.5411515,48832,6.370537757873535
29.png,1555464300.9120367,49695,6.46262526512146
30.png,1555464307.3751528,54057,5.5423009395599365
31.png,1555464312.9177868,54151,1.8766775131225586
32.png,1555464314.79492,54779,5.593806743621826
33.png,1555464320.3890533,59242,5.341534614562988
34.png,1555464325.730888,62155,3.2661423683166504
35.png,1555464328.9974558,62653,5.096676826477051
