File Name,File Size,Average CPU Workload,Execution Time
01.png,1584,0.4939579963684082,0.35961612983956615
02.png,2294,0.5159285068511963,10.611446438013083
03.png,2677,0.5170965194702148,10.611446438013083
04.png,2988,0.5842108726501465,16.039686033535034
05.png,3870,1.0873417854309082,23.730975811937395
06.png,4855,0.9502773284912109,28.216856835296348
07.png,23359,1.5397493839263916,26.071044323034116
08.png,26854,1.8307135105133057,27.02856078743879
09.png,44189,2.381819009780884,34.162850974211125
10.png,62155,2.8282034397125244,38.999010266038496
11.png,71329,6.584975242614746,41.967393274261624
12.png,76633,8.35981035232544,43.42367965844707
13.png,78053,9.128223419189453,42.66804354675807
14.png,79208,9.539297819137573,43.373558365284104
15.png,155349,11.867993116378784,42.759649908993985
16.png,197048,14.670213460922241,42.77968598264617
17.png,209291,14.850725412368774,43.23273317083256
18.png,225763,16.26876711845398,42.45514281363144
19.png,245337,21.214686632156372,34.387370596921045
20.png,255254,21.239820957183838,39.17987173087909
01.png,1584,0.4993600845336914,0.4757405072173201
02.png,2294,0.5243165493011475,7.69514810144346
03.png,2677,0.5258615016937256,7.69514810144346
04.png,2988,0.57515549659729,15.656676679112225
05.png,3870,1.0162701606750488,16.431335335822446
06.png,4855,0.9619066715240479,26.18626706716449
07.png,23359,1.5695128440856934,38.02539114236778
08.png,26854,1.6975502967834473,24.869821013918973
09.png,44189,2.2821691036224365,40.253631934945524
10.png,62155,2.8555898666381836,38.370236460128524
11.png,71329,6.428603649139404,41.728115668474366
12.png,76633,9.309272527694702,44.59505619029274
13.png,78053,9.1069016456604,42.550610706965095
14.png,79208,9.334326028823853,39.88573902254322
15.png,155349,11.279725313186646,44.74936702044231
16.png,197048,14.36785078048706,43.33513523543808
17.png,209291,15.130272388458252,41.69187814634374
18.png,225763,18.430604934692383,64.7979462269019
19.png,245337,20.98119044303894,36.44968621370425
20.png,255254,21.29198718070984,51.17533398721442
01.png,1584,0.49706339836120605,0.909252841645859
02.png,2294,0.5694224834442139,7.3908618324092705
03.png,2677,0.5227103233337402,16.897446459097623
04.png,2988,0.5673120021820068,16.897446459097623
05.png,3870,1.0870802402496338,16.363259578960594
06.png,4855,0.9510645866394043,28.034556677696884
07.png,23359,1.5223960876464844,35.43003973260349
08.png,26854,2.33278226852417,69.42185831205748
09.png,44189,2.354904890060425,70.0311175751321
10.png,62155,2.823847532272339,40.45336072109343
11.png,71329,6.527214527130127,59.763471571624244
12.png,76633,8.355457782745361,44.995983729976246
13.png,78053,10.035844564437866,55.043630360253914
14.png,79208,10.0136559009552,75.84387932355523
15.png,155349,12.220504999160767,60.49440951434501
16.png,197048,17.714606523513794,42.924730392962026
17.png,209291,17.326326847076416,55.69375760741433
18.png,225763,17.567681789398193,53.52993976227624
19.png,245337,22.057047843933105,76.53680442074621
20.png,255254,24.939409494400024,60.93207295084036
01.png,1584,0.5258402824401855,13.366459423583157
02.png,2294,0.6378185749053955,19.415146521308113
03.png,2677,0.8136839866638184,57.0166123254851
04.png,2988,0.6859846115112305,57.0166123254851
05.png,3870,1.6417865753173828,66.15978619941839
06.png,4855,1.0734052658081055,45.57238277179857
07.png,23359,1.6646161079406738,40.194825135433355
08.png,26854,1.722245216369629,52.802630789966535
09.png,44189,4.788846492767334,84.91841711444381
10.png,62155,3.449181079864502,69.06336123049876
11.png,71329,7.320276737213135,58.14122448013582
12.png,76633,9.237436771392822,57.88429806445995
13.png,78053,11.479819536209106,85.30456304334305
14.png,79208,12.53967833518982,67.39687593075288
15.png,155349,16.209563970565796,76.73961341428105
16.png,197048,19.331770181655884,65.23366354233085
17.png,209291,19.12622356414795,72.62574158808351
18.png,225763,22.113648891448975,45.14250498699888
19.png,245337,33.20821452140808,53.45544416027602
20.png,255254,29.91009545326233,62.019286199887524
