File Name,File Size,Average CPU Workload,Execution Time
01.png,1584,0.4008326152874754,0.5037569999694824
02.png,2294,4.5745485455294075,0.5149283409118652
03.png,2677,4.5745485455294075,0.5249450206756592
04.png,2988,14.164596032819812,0.5629949569702148
05.png,3870,14.164596032819812,1.026810884475708
06.png,4855,17.814192614803666,0.9439494609832764
07.png,23359,26.13462379137522,1.5390713214874268
08.png,26854,34.02232040668808,1.7379107475280762
09.png,44189,23.746819971061925,2.3124117851257324
10.png,62155,39.583048067507875,2.811788558959961
11.png,71329,41.52304105604491,6.635596990585327
12.png,76633,42.10829525684996,8.535423278808594
13.png,78053,43.52662881923326,9.195570468902588
14.png,79208,42.52881336342717,10.082318782806396
15.png,155349,77.29340829034577,11.170388221740723
16.png,197048,45.662322625432836,14.60780644416809
17.png,209291,42.04600564720266,14.809308767318726
18.png,225763,36.25502430522764,16.457767248153687
19.png,245337,84.18821827849104,21.492485523223877
20.png,255254,45.00957424540231,21.600911617279053
