file_name,time_stamp,input_size,execution_time
01.png,1555463188.836105,279739,14.075820684432983
02.png,1555463202.9122562,333797,5.360007286071777
03.png,1555463208.2725866,389376,21.061193227767944
04.png,1555463229.3343654,424373,8.836062669754028
05.png,1555463238.1708453,481649,11.909480333328247
06.png,1555463250.0807302,547287,4.86524510383606
07.png,1555463254.9464948,581723,41.77843451499939
08.png,1555463296.7253926,659860,9.782644271850586
09.png,1555463306.508358,690145,5.643060684204102
10.png,1555463312.1518533,755877,14.303565263748169
11.png,1555463326.4559584,784178,7.4197986125946045
12.png,1555463333.8760538,821816,6.084077835083008
13.png,1555463339.9604645,899577,77.42265844345093
14.png,1555463417.3835852,948396,11.554513216018677
15.png,1555463428.9385233,1001671,85.47143197059631
