file_name,time_stamp,input_size,execution_time
01.png,1555462780.3957622,1635,0.9717676639556885
02.png,1555462781.3679707,3620,0.8092091083526611
03.png,1555462782.1775498,11384,1.3596181869506836
04.png,1555462783.5375574,44189,2.0387885570526123
05.png,1555462785.576853,78606,3.2867343425750732
06.png,1555462788.8638914,97335,4.056078195571899
07.png,1555462792.920313,110439,4.669387578964233
08.png,1555462797.5900137,130228,3.1290149688720703
09.png,1555462800.7194843,155349,8.965690612792969
10.png,1555462809.6854835,167365,8.230329990386963
11.png,1555462817.9162383,197048,9.97377324104309
12.png,1555462827.890365,209291,10.854121923446655
13.png,1555462838.744923,225763,11.190342426300049
14.png,1555462849.935565,248497,13.553923606872559
15.png,1555462863.4897842,255254,14.278675317764282
