file_name,time_stamp,input_size,execution_time
01.png,1555465287.8068466,65342,2.356001377105713
02.png,1555465290.1631777,68305,7.097659349441528
03.png,1555465297.2611737,71329,5.037355184555054
04.png,1555465302.2989764,72050,7.489318132400513
05.png,1555465309.7886076,76633,6.190627813339233
06.png,1555465315.9795702,78053,7.265751361846924
07.png,1555465323.2456691,79208,7.521326303482056
08.png,1555465330.7674406,79339,1.576251745223999
09.png,1555465332.3441894,80727,0.7937641143798828
10.png,1555465333.1382942,82665,7.1252992153167725
11.png,1555465340.2641819,82992,5.997457265853882
12.png,1555465346.2620778,88229,2.779707193374634
13.png,1555465349.0422435,90337,9.990491390228271
14.png,1555465359.033187,90937,9.430705070495605
15.png,1555465368.464275,92474,2.1551005840301514
16.png,1555465370.6197863,106416,4.552690029144287
17.png,1555465375.1729293,108666,2.6359682083129883
18.png,1555465377.8094058,113599,5.4723358154296875
19.png,1555465383.2822242,116551,2.5390501022338867
20.png,1555465385.821594,123808,2.5572783946990967
21.png,1555465388.3791842,125365,4.094470024108887
22.png,1555465392.4739633,137569,6.9902472496032715
23.png,1555465399.464626,137802,2.7838377952575684
24.png,1555465402.2488623,158930,2.6495866775512695
25.png,1555465404.8988807,162060,3.5068166255950928
26.png,1555465408.406011,162230,3.637953758239746
27.png,1555465412.0444353,166720,3.5287909507751465
28.png,1555465415.5735986,166870,8.271353244781494
29.png,1555465423.8454518,172837,10.096936702728271
30.png,1555465433.9426901,176107,3.5237510204315186
31.png,1555465437.4668596,181093,9.571734428405762
32.png,1555465447.0390487,181383,9.206753253936768
33.png,1555465456.2463982,183329,4.0394556522369385
34.png,1555465460.2863245,198086,4.540526866912842
35.png,1555465464.827176,202288,2.5112833976745605
36.png,1555465467.3388956,206161,3.9915435314178467
37.png,1555465471.3307962,210690,4.608814239501953
38.png,1555465475.9400947,214789,4.235825061798096
39.png,1555465480.176273,215122,7.698728084564209
40.png,1555465487.8754961,218436,5.054746150970459
41.png,1555465492.9305797,225864,4.395071268081665
42.png,1555465497.3261302,226752,5.033602714538574
43.png,1555465502.3600516,226823,4.436129331588745
44.png,1555465506.796476,229185,3.6842613220214844
45.png,1555465510.4810438,235511,11.924705743789673
46.png,1555465522.4060373,235859,5.740620851516724
47.png,1555465528.147116,237598,11.951456546783447
48.png,1555465540.098955,238839,11.213013410568237
49.png,1555465551.3123453,242639,4.8820953369140625
50.png,1555465556.1949718,245337,12.69458818435669
51.png,1555465568.8899727,247309,3.727491855621338
52.png,1555465572.6178567,248554,5.053659200668335
53.png,1555465577.6719055,249768,4.584575891494751
54.png,1555465582.2567742,254590,5.409979343414307
55.png,1555465587.6672587,256364,5.760603666305542
